"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3257","@API Test case 2","","2026-02-07","passed","2026-02-07","","WebAPI2.spec.js","",""
"","5219","@API API testing","","2026-02-07","passed","2026-02-07","","WebAPI1.spec.js","",""
